https://city.imd.gov.in/citywx/city_weather.php?id=42647,Ahmedabad,43.0,24.5,NIL,12,18:57,06:27,02:24,13:17,Clear sky,07-Apr,Clear sky,08-Apr,Clear sky,09-Apr,Clear sky,10-Apr,Clear sky,11-Apr,Sunny Day,12-Apr,Sunny Day
https://city.imd.gov.in/citywx/city_weather.php?id=43279,Chennai-Meenambakkam,36.1,25.8,0.1,74,18:21,06:02,01:30,13:07,Generally cloudy sky with Light rain,07-Apr,Partly cloudy sky,08-Apr,Partly cloudy sky,09-Apr,Partly cloudy sky,10-Apr,Partly cloudy sky,11-Apr,Partly cloudy sky,12-Apr,Rain
https://city.imd.gov.in/citywx/city_weather.php?id=43003,Mumbai-Santacruz,33.8,24.1,NIL,72,18:53,06:32,23:17,09:24,Mainly Clear sky,07-Apr,Mainly Clear sky,08-Apr,Mainly Clear sky,09-Apr,Mainly Clear sky,10-Apr,Partly cloudy sky,11-Apr,Partly cloudy sky,12-Apr,Partly cloudy sky
https://city.imd.gov.in/citywx/city_weather.php?id=43137,"Khammam
",39.4,25.0,NIL,48,18:23,06:00,01:39,12:58,Partly cloudy sky with possibility of development of thunder lightning,07-Apr,Partly cloudy sky with possibility of development of thunder lightning,08-Apr,Partly cloudy sky with possibility of development of thunder lightning,09-Apr,Partly cloudy sky with possibility of development of thunder lightning,10-Apr,Partly cloudy sky with possibility of development of thunder lightning,11-Apr,Partly cloudy sky with possibility of rain or Thunderstorm,12-Apr,Partly cloudy sky with possibility of rain or Thunderstorm
https://city.imd.gov.in/citywx/city_weather.php?id=42034,Leh,14.2,-0.6,NIL,11,18:44,06:01,02:33,12:28,Mainly Clear sky,07-Apr,Mainly Clear sky,08-Apr,Mainly Clear sky,09-Apr,Mainly Clear sky,10-Apr,Generally cloudy sky,11-Apr,Generally cloudy sky,12-Apr,Partly cloudy sky
https://city.imd.gov.in/citywx/city_weather.php?id=43086,Ramagundam,39.4,24.4,NIL,30,18:27,06:02,01:45,12:58,Partly cloudy sky with haze,07-Apr,Partly cloudy sky with haze,08-Apr,Partly cloudy sky with haze,09-Apr,Partly cloudy sky with haze,10-Apr,Partly cloudy sky with possibility of development of thunder lightning,11-Apr,Partly cloudy sky with possibility of rain or Thunderstorm,12-Apr,Partly cloudy sky with possibility of rain or Thunderstorm
https://city.imd.gov.in/citywx/city_weather.php?id=43081,Nizamabad,41.5,25.2,NIL,23,18:32,06:08,01:51,13:04,Partly cloudy sky with haze,07-Apr,Partly cloudy sky with haze,08-Apr,Partly cloudy sky with haze,09-Apr,Partly cloudy sky with haze,10-Apr,Partly cloudy sky with haze,11-Apr,Partly cloudy sky with possibility of rain or Thunderstorm,12-Apr,Partly cloudy sky with possibility of rain or Thunderstorm
https://city.imd.gov.in/citywx/city_weather.php?id=43354,Punalur,35.2,23.6,65,91,18:32,06:17,01:35,13:28,Generally cloudy sky with one or two spells of rain or thundershowers,07-Apr,Partly cloudy sky with one or two spells of rain or thundershowers,08-Apr,Partly cloudy sky with one or two spells of rain or thundershowers,09-Apr,Partly cloudy sky with one or two spells of rain or thundershowers,10-Apr,Partly cloudy sky with one or two spells of rain or thundershowers,11-Apr,Partly cloudy sky with possibility of rain or Thunderstorm,12-Apr,Partly cloudy sky with possibility of rain or Thunderstorm
https://city.imd.gov.in/citywx/city_weather.php?id=90061,Vellanikara,34.0,24.6,NIL,NA,18:36,06:19,01:41,13:28,Generally cloudy sky with one or two spells of rain or thundershowers,07-Apr,Partly cloudy sky with one or two spells of rain or thundershowers,08-Apr,Partly cloudy sky with one or two spells of rain or thundershowers,09-Apr,Partly cloudy sky with one or two spells of rain or thundershowers,10-Apr,Partly cloudy sky with one or two spells of rain or thundershowers,11-Apr,Partly cloudy sky with possibility of rain or Thunderstorm,12-Apr,Partly cloudy sky with possibility of rain or Thunderstorm
https://city.imd.gov.in/citywx/city_weather.php?id=30029,Palakkad,32.1,25.3,TRACE,NA,18:34,06:18,01:40,13:26,Generally cloudy sky with one or two spells of rain or thundershowers,07-Apr,Partly cloudy sky with one or two spells of rain or thundershowers,08-Apr,Partly cloudy sky with one or two spells of rain or thundershowers,09-Apr,Partly cloudy sky with one or two spells of rain or thundershowers,10-Apr,Partly cloudy sky with one or two spells of rain or thundershowers,11-Apr,Partly cloudy sky with possibility of rain or Thunderstorm,12-Apr,Partly cloudy sky with possibility of rain or Thunderstorm
